customer_id,name,email,country,age,age_group,signup_date,marketing_opt_in,total_orders,total_spend_usd,avg_order_value,avg_discount_pct,first_order_date,last_order_date,preferred_payment,preferred_device_ord,preferred_source,top_category_bought,avg_rating_given,total_sessions,preferred_device_sess,preferred_source_sess,first_session_date,last_session_date,has_abandoned_cart,clv_tier,is_repeat_customer
1,Jennifer Salinas,nicholas59@example.org,JP,71,55+,2020-09-04,True,2,115.39,57.69,7.5,2022-03-18T04:16:29,2025-06-25T16:02:53,paypal,desktop,email,Beauty,3.0,5,desktop,email,2022-03-18T01:58:29,2025-06-25T14:09:53,0,low,1
2,Phillip Ramos,christinarubio@example.com,IN,26,25-34,2020-04-05,False,2,68.52,34.26,7.5,2023-12-16T17:48:30,2025-01-02T02:48:29,card,desktop,email,Sports,,3,mobile,organic,2021-06-09T11:10:13,2025-01-02T01:01:29,0,low,1
3,Dawn Fowler,jessica03@example.org,BR,21,18-24,2023-08-31,True,1,66.72,66.72,15.0,2020-07-04T07:39:11,2020-07-04T07:39:11,wallet,desktop,email,Electronics,,5,mobile,direct,2020-07-04T06:53:11,2025-08-28T11:01:14,0,low,0
4,Mario Butler,paula27@example.org,FR,63,55+,2022-06-30,True,2,279.86,139.93,5.0,2020-09-29T03:07:16,2023-08-01T00:50:26,card,desktop,direct,Beauty,,9,desktop,direct,2020-09-29T02:46:16,2024-11-27T23:38:49,0,medium,1
5,Amber Brown,kevin85@example.net,BR,19,18-24,2022-07-22,True,3,271.29,90.43,6.67,2024-06-15T21:36:57,2025-01-30T02:03:28,card,desktop,social,Beauty,3.67,9,desktop,organic,2020-01-31T02:47:48,2025-01-29T23:45:28,0,medium,1
6,Kevin Chapman,michaelpoole@example.org,US,28,25-34,2020-10-21,False,4,387.4,96.85,5.0,2021-01-17T20:52:30,2024-11-27T15:35:22,card,desktop,direct,Beauty,4.25,7,desktop,organic,2020-12-19T03:36:28,2025-03-11T03:21:16,0,medium,1
7,Timothy Sanchez,shannonbrown@example.org,IN,48,45-54,2025-07-24,False,2,96.81,48.4,5.0,2020-09-08T02:27:02,2022-09-11T17:36:57,card,tablet,organic,Beauty,,7,mobile,social,2020-02-19T06:57:11,2025-07-11T11:37:02,0,low,1
8,Rachael Morales,tammy08@example.com,GB,33,25-34,2022-10-09,True,1,207.4,207.4,5.0,2020-08-08T03:07:31,2020-08-08T03:07:31,wallet,mobile,social,Home & Kitchen,,5,mobile,organic,2020-08-08T01:41:31,2023-07-12T02:09:42,0,medium,0
9,Laura Guzman,awright@example.org,US,32,25-34,2024-07-29,True,1,122.51,122.51,0.0,2024-05-21T13:11:41,2024-05-21T13:11:41,card,mobile,email,Electronics,,4,mobile,referral,2022-07-21T03:34:45,2025-08-17T07:37:43,0,low,0
10,Alexander Lopez,brianmaxwell@example.org,JP,39,35-44,2023-01-13,True,3,398.85,132.95,1.67,2022-12-22T14:22:57,2023-04-02T21:14:34,paypal,mobile,direct,Books,3.67,6,desktop,direct,2022-02-11T22:46:48,2025-01-18T12:34:37,0,medium,1
11,Mary Gonzalez,mgonzalez@example.net,MX,68,55+,2022-01-11,True,0,0.0,0.0,0.0,,,,,,,,4,mobile,direct,2020-06-20T15:51:05,2023-12-27T04:13:56,1,no_purchase,0
12,Margaret Li,williambrown@example.net,US,70,55+,2021-05-16,False,2,484.25,242.12,7.5,2023-04-24T00:55:52,2024-08-04T04:40:15,card,desktop,direct,Books,,3,desktop,direct,2023-04-23T23:45:52,2024-08-04T03:43:15,0,medium,1
13,Steve Logan,brookssamuel@example.com,AU,41,35-44,2023-08-13,True,0,0.0,0.0,0.0,,,,,,,,1,tablet,organic,2025-07-20T01:57:29,2025-07-20T01:57:29,1,no_purchase,0
14,Matthew Thompson,greendawn@example.org,SG,28,25-34,2021-01-13,True,3,380.89,126.96,1.67,2022-11-30T12:51:47,2025-10-28T08:59:34,card,mobile,organic,Beauty,,4,mobile,organic,2022-11-30T12:06:47,2025-10-28T06:50:34,0,medium,1
15,Paul Neal,jennifer48@example.net,AU,52,45-54,2020-06-14,True,2,40.06,20.03,5.0,2020-09-20T13:06:13,2022-05-04T07:04:40,card,desktop,direct,Toys,2.0,6,desktop,organic,2020-09-20T11:18:13,2024-02-07T21:27:39,0,low,1
16,Richard Mills,kenneth31@example.net,JP,51,45-54,2023-06-20,False,1,285.4,285.4,0.0,2024-04-22T23:00:50,2024-04-22T23:00:50,card,desktop,organic,Electronics,,7,desktop,organic,2020-05-17T14:46:00,2024-04-22T21:10:50,0,medium,0
17,David Young,shirleyreese@example.com,US,31,25-34,2025-05-15,True,3,791.85,263.95,6.67,2021-05-04T10:54:05,2024-03-11T03:55:15,card,mobile,organic,Fashion,,6,mobile,organic,2021-05-04T08:16:05,2025-03-09T16:31:03,0,medium,1
18,James Burke,osolomon@example.net,IN,45,45-54,2020-02-12,False,4,805.64,201.41,8.75,2021-09-26T00:24:08,2024-10-16T13:36:30,card,mobile,organic,Fashion,4.0,10,mobile,direct,2020-08-30T23:01:40,2024-10-24T16:46:35,0,medium,1
19,Dr. Kimberly Kennedy,mathewssamuel@example.net,AU,57,55+,2021-07-01,False,3,265.32,88.44,11.67,2020-08-27T11:10:28,2021-05-06T09:14:00,card,mobile,direct,Sports,5.0,5,mobile,direct,2020-06-05T20:43:28,2024-12-06T02:33:39,0,medium,1
20,Stephen Mccormick,edean@example.net,AE,33,25-34,2022-06-02,True,4,499.73,124.93,3.75,2020-01-06T00:24:51,2025-05-24T04:12:43,paypal,desktop,direct,Sports,5.0,12,desktop,organic,2020-01-05T23:21:51,2025-05-24T02:25:43,0,medium,1
21,Brianna Johnson,howellevan@example.org,US,73,55+,2020-03-26,True,0,0.0,0.0,0.0,,,,,,,,4,mobile,direct,2020-03-28T17:58:21,2023-05-10T01:06:08,1,no_purchase,0
22,Amanda Taylor,terryjillian@example.org,AU,59,55+,2022-03-17,False,1,169.83,169.83,10.0,2020-08-31T13:46:51,2020-08-31T13:46:51,wallet,mobile,social,Electronics,4.5,9,desktop,organic,2020-08-31T11:52:51,2025-01-08T02:20:21,0,low,0
23,Pamela Gonzalez,hobbskatelyn@example.net,US,22,18-24,2025-01-10,False,1,57.19,57.19,0.0,2023-05-31T04:24:21,2023-05-31T04:24:21,card,desktop,social,Home & Kitchen,4.5,4,desktop,social,2021-08-03T21:24:28,2023-12-30T04:53:44,0,low,0
24,Ashley Harris,johnsonstacy@example.net,GB,22,18-24,2023-04-30,False,0,0.0,0.0,0.0,,,,,,,,7,desktop,organic,2020-01-01T01:28:07,2025-05-09T20:56:58,1,no_purchase,0
25,Paul Chen,ggarcia@example.net,US,41,35-44,2024-07-22,True,2,318.95,159.48,0.0,2021-05-17T04:41:42,2025-03-22T15:09:44,card,desktop,organic,Electronics,4.0,5,mobile,direct,2020-04-28T18:49:27,2025-03-22T14:10:44,0,medium,1
26,Francis Coleman,bellsarah@example.org,US,49,45-54,2024-09-27,False,1,5.93,5.93,20.0,2023-05-08T22:18:11,2023-05-08T22:18:11,card,mobile,organic,Beauty,,7,mobile,organic,2021-02-11T16:06:10,2025-01-17T20:21:02,0,low,0
